"var_star","estimate","se","df","t value","pval","conf.low","conf.high","effect","model","model_term_number"
"(Intercept)",0.00430272360685968,0.0339677787246691,483.908827077699,0.126670738223304,0.899253621564396,-0.0622728993283176,0.070878346542037,"fixed","EP_PRCPSM","EP_PRCPSM.1"
"Menses",-0.0416647221614709,0.015424830823882,11711.5877832441,-2.7011461349036,0.00692003916693021,-0.071896835043903,-0.0114326092790389,"fixed","EP_PRCPSM","EP_PRCPSM.2"
"Partner Sexual Attract.",-0.142243342217632,0.0347101071258277,479.291520831315,-4.09803812192181,0.0000489271850215499,-0.210273902083781,-0.0742127823514825,"fixed","EP_PRCPSM","EP_PRCPSM.3"
"Probability of Conception (mean)",0.00351726313418483,0.0306131035659219,492.12984880338,0.114894039626227,0.908575970895428,-0.0564833173100168,0.0635178435783865,"fixed","EP_PRCPSM","EP_PRCPSM.4"
"Probability of Conception (mean) * Partner Sexual Attract.",0.0131470131947011,0.0321394965983165,492.740412673318,0.409060955714836,0.6826726671171,-0.0498452426192468,0.076139269008649,"fixed","EP_PRCPSM","EP_PRCPSM.5"
"Probability of Conception (mean) * Self Sexual Attract.",-0.0303257202738228,0.0309489778296887,494.280757220654,-0.979861772518121,0.327633701654066,-0.0909846021783412,0.0303331616306956,"fixed","EP_PRCPSM","EP_PRCPSM.6"
"Probability of Conception (WW)",0.0624307234540008,0.0103932143860641,450.257404597891,6.00687344020461,0.00000000390334462210999,0.0420603975737117,0.08280104933429,"fixed","EP_PRCPSM","EP_PRCPSM.7"
"Probability of Conception (WW) * Partner Sexual Attract.",-0.0385650177051251,0.0104427696013422,428.323248306951,-3.69298750976641,0.000250298246505796,-0.0590324700226056,-0.0180975653876447,"fixed","EP_PRCPSM","EP_PRCPSM.8"
"Probability of Conception (WW) * Self Sexual Attract.",0.0230168695062063,0.0106213564195923,431.496428241435,2.16703673212105,0.0307785120670253,0.00219939345684202,0.0438343455555706,"fixed","EP_PRCPSM","EP_PRCPSM.9"
"Self Sexual Attract.",0.0964108311546043,0.0354387348516043,478.685506028798,2.72049302996604,0.00675572729480558,0.0269521871877953,0.165869475121413,"fixed","EP_PRCPSM","EP_PRCPSM.10"
"(Intercept)",0.00877487092413965,0.0341746703310704,484.802167830038,0.25676534225882,0.797468855725527,-0.0582062521082879,0.0757559939565672,"fixed","EP_HPSM","EP_HPSM.1"
"Menses",-0.082823911303942,0.0189916190086419,11644.2983079261,-4.36107691852149,0.0000130536300429106,-0.120046800568986,-0.0456010220388977,"fixed","EP_HPSM","EP_HPSM.2"
"Menses * Partner Sexual Attract.",0.0377921453117682,0.019253909495238,11597.8180424092,1.96282969550237,0.0496898321502892,0.00005517613950793,0.0755291144840285,"fixed","EP_HPSM","EP_HPSM.3"
"Estradiol (mean)",0.0195862956488078,0.0427221106609849,484.559713853534,0.458458052417682,0.646828938653288,-0.0641475025902573,0.103320093887873,"fixed","EP_HPSM","EP_HPSM.4"
