model,variable,moderator_value,slope,SE,df,lower_ci,upper_ci,p.value
SC_HPSSy,Zprog_ww,1,-0.01974992495426822,0.015490504159347742,468.10619660210375,-0.050189457991091806,0.010689608082555369,0.20295238151217818
SC_HPSSy,Zestr_ww,-1,0.03846014894144916,0.017566601115444468,523.7029250907318,0.0039504890835498074,0.07296980879934852,0.029009046396991634
SC_HPSSy,Zestr_ww,0,0.025083828600321465,0.012568307317269102,578.7928346068369,3.987797179766904e-4,0.04976887748266624,0.046423840066883174
SC_HPSSy,Zestr_ww,1,0.011707508259193766,0.017428411469465572,527.3706814049876,-0.02253012591816742,0.04594514243655495,0.5020380092792502
SC_PRCPS,Zprc_stirn_ww,-1,0.043935743837908055,0.013303450323967328,479.4036984882438,0.017795466129962075,0.07007602154585403,0.0010295770654310925
SC_PRCPS,Zprc_stirn_ww,0,0.03054618938568938,0.009378396953743868,494.89974987074163,0.012119806086341087,0.04897257268503767,0.0012028983137901616
SC_PRCPS,Zprc_stirn_ww,1,0.017156634933470704,0.013273485231718165,484.14144317953964,-0.00892411768402928,0.04323738755097069,0.1967834943238016
SC_HPS,Zprog_ww,-1,-0.06416719498768979,0.015401697352423641,466.195822249043,-0.09443254015789096,-0.03390184981748861,3.6909741678402845e-5
SC_HPS,Zprog_ww,0,-0.04230011153875294,0.010808517447198272,471.95114163326764,-0.06353888290333821,-0.021061340174167668,1.0431295313810025e-4
SC_HPS,Zprog_ww,1,-0.0204330280898161,0.01540305771928463,471.8227261923438,-0.05070010696775411,0.009834050788121905,0.18529709808509603
SC_HPS,Zestr_ww,-1,0.03849990829701245,0.017373058921322865,523.8834141798335,0.004370490108505952,0.07262932648551895,0.027115684625988446
SC_HPS,Zestr_ww,0,0.02632963811152205,0.012481058745110844,582.9656683851977,0.0018163192980488914,0.050842956924995214,0.0353212612746119
SC_HPS,Zestr_ww,1,0.014159367926031657,0.017361416954536572,532.025667738979,-0.019945970982374415,0.04826470683443773,0.41511380885865945
